artifact_id,status,reason,n_observations,n_actions,n_transitions
transport_recovery__natural__007,canonicalized,actual_applied,13,13,12
transport_recovery__natural__008,canonicalized,actual_applied,14,14,13
transport_recovery__natural__009,canonicalized,actual_applied,14,14,13
transport_recovery__natural__010,canonicalized,actual_applied,13,13,12
transport_recovery__natural__011,canonicalized,actual_applied,14,14,13
transport_recovery__natural__012,canonicalized,actual_applied,13,13,12
transport_recovery__natural__013,canonicalized,actual_applied,15,15,14
transport_recovery__natural__014,canonicalized,actual_applied,14,14,13
transport_recovery__natural__015,canonicalized,actual_applied,13,13,12
transport_recovery__natural__016,canonicalized,actual_applied,14,14,13
transport_recovery__natural__017,canonicalized,actual_applied,13,13,12
transport_recovery__natural__018,canonicalized,actual_applied,13,13,12
transport_recovery__natural__019,canonicalized,actual_applied,13,13,12
transport_recovery__natural__020,canonicalized,actual_applied,14,14,13
transport_recovery__natural__021,canonicalized,actual_applied,14,14,13
transport_recovery__natural__022,canonicalized,actual_applied,14,14,13
transport_recovery__natural__023,canonicalized,actual_applied,13,13,12
transport_recovery__natural__024,canonicalized,actual_applied,14,14,13
transport_recovery__natural__025,canonicalized,actual_applied,14,14,13
transport_recovery__natural__026,canonicalized,actual_applied,14,14,13
transport_recovery__natural__027,canonicalized,actual_applied,14,14,13
transport_recovery__natural__028,canonicalized,actual_applied,14,14,13
transport_recovery__natural__029,canonicalized,actual_applied,14,14,13
transport_recovery__natural__030,canonicalized,actual_applied,14,14,13
transport_recovery__natural__031,canonicalized,actual_applied,15,15,14
transport_recovery__natural__032,canonicalized,actual_applied,13,13,12
transport_recovery__natural__033,canonicalized,actual_applied,13,13,12
transport_recovery__natural__034,canonicalized,actual_applied,14,14,13
transport_recovery__natural__035,canonicalized,actual_applied,13,13,12
transport_recovery__natural__036,canonicalized,actual_applied,13,13,12
transport_recovery__natural__037,canonicalized,actual_applied,14,14,13
transport_recovery__natural__038,canonicalized,actual_applied,13,13,12
transport_recovery__natural__039,canonicalized,actual_applied,14,14,13
transport_recovery__natural__040,canonicalized,actual_applied,14,14,13
transport_recovery__natural__041,canonicalized,actual_applied,14,14,13
transport_recovery__natural__042,canonicalized,actual_applied,13,13,12
