method,policy_seed,condition,profile,successes,episodes,success_rate
GRAPH_FULL_PBRS,211,A_VALID_B_LOSS,LONG_CHAIN128,104,128,0.8125
GRAPH_FULL_PBRS,211,B_STARTED,BASE64,124,128,0.96875
GRAPH_FULL_PBRS,211,B_STARTED,LONG_CHAIN128,120,128,0.9375
GRAPH_FULL_PBRS,211,B_VALID_A_LOSS,BASE64,128,128,1.0
GRAPH_FULL_PBRS,211,B_VALID_A_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_FULL_PBRS,211,FREE_ORDER,BASE64,116,128,0.90625
GRAPH_FULL_PBRS,211,FREE_ORDER,LONG_CHAIN128,116,128,0.90625
GRAPH_FULL_PBRS,211,INVALIDATE_FIRST,BASE64,116,128,0.90625
GRAPH_FULL_PBRS,211,INVALIDATE_FIRST,LONG_CHAIN128,112,128,0.875
GRAPH_FULL_PBRS,211,LATE_LOSS,BASE64,115,128,0.8984375
GRAPH_FULL_PBRS,211,LATE_LOSS,LONG_CHAIN128,104,128,0.8125
GRAPH_FULL_PBRS,211,TWO_LOSSES,BASE64,95,128,0.7421875
GRAPH_FULL_PBRS,211,TWO_LOSSES,LONG_CHAIN128,112,128,0.875
GRAPH_FULL_PBRS,223,A_STARTED,BASE64,104,128,0.8125
GRAPH_FULL_PBRS,223,A_STARTED,LONG_CHAIN128,60,128,0.46875
GRAPH_FULL_PBRS,223,A_VALID_B_LOSS,BASE64,128,128,1.0
GRAPH_FULL_PBRS,223,A_VALID_B_LOSS,LONG_CHAIN128,128,128,1.0
GRAPH_FULL_PBRS,223,B_STARTED,BASE64,120,128,0.9375
GRAPH_FULL_PBRS,223,B_STARTED,LONG_CHAIN128,108,128,0.84375
GRAPH_FULL_PBRS,223,B_VALID_A_LOSS,BASE64,108,128,0.84375
GRAPH_FULL_PBRS,223,B_VALID_A_LOSS,LONG_CHAIN128,92,128,0.71875
GRAPH_FULL_PBRS,223,FREE_ORDER,BASE64,104,128,0.8125
GRAPH_FULL_PBRS,223,FREE_ORDER,LONG_CHAIN128,60,128,0.46875
GRAPH_FULL_PBRS,223,INVALIDATE_FIRST,BASE64,104,128,0.8125
GRAPH_FULL_PBRS,223,INVALIDATE_FIRST,LONG_CHAIN128,60,128,0.46875
GRAPH_FULL_PBRS,223,LATE_LOSS,BASE64,116,128,0.90625
GRAPH_FULL_PBRS,223,LATE_LOSS,LONG_CHAIN128,96,128,0.75
GRAPH_FULL_PBRS,223,TWO_LOSSES,BASE64,107,128,0.8359375
