boundary_source,closed_full_input_cycle_residual,episode_id,partition_residual,root_family_id,segment_return_sum,split,whole_return_phi_last_minus_phi_first
best_budget,not_measured,formal_u2_family_109_r02,0.0,u2_family_109,0.19767910242080688,test,0.19767910242080688
gold,not_measured,formal_u2_family_109_r03,0.0,u2_family_109,0.652715876698494,test,0.652715876698494
best_causal,not_measured,formal_u2_family_109_r03,0.0,u2_family_109,0.652715876698494,test,0.652715876698494
best_rule,not_measured,formal_u2_family_109_r03,0.0,u2_family_109,0.652715876698494,test,0.652715876698494
uniform,not_measured,formal_u2_family_109_r03,0.0,u2_family_109,0.652715876698494,test,0.652715876698494
best_budget,not_measured,formal_u2_family_109_r03,0.0,u2_family_109,0.652715876698494,test,0.652715876698494
gold,not_measured,formal_u2_family_109_r04,0.0,u2_family_109,0.6538318991661072,test,0.6538318991661072
best_causal,not_measured,formal_u2_family_109_r04,0.0,u2_family_109,0.6538318991661072,test,0.6538318991661072
best_rule,not_measured,formal_u2_family_109_r04,0.0,u2_family_109,0.6538318991661072,test,0.6538318991661072
uniform,not_measured,formal_u2_family_109_r04,0.0,u2_family_109,0.6538318991661072,test,0.6538318991661072
best_budget,not_measured,formal_u2_family_109_r04,0.0,u2_family_109,0.6538318991661072,test,0.6538318991661072
gold,not_measured,formal_u2_family_109_r05,0.0,u2_family_109,0.6531486064195633,test,0.6531486064195633
best_causal,not_measured,formal_u2_family_109_r05,0.0,u2_family_109,0.6531486064195633,test,0.6531486064195633
best_rule,not_measured,formal_u2_family_109_r05,0.0,u2_family_109,0.6531486064195633,test,0.6531486064195633
uniform,not_measured,formal_u2_family_109_r05,0.0,u2_family_109,0.6531486064195633,test,0.6531486064195633
best_budget,not_measured,formal_u2_family_109_r05,0.0,u2_family_109,0.6531486064195633,test,0.6531486064195633
gold,not_measured,formal_u2_family_110_r00,0.0,u2_family_110,0.6540891081094742,test,0.6540891081094742
best_causal,not_measured,formal_u2_family_110_r00,0.0,u2_family_110,0.6540891081094742,test,0.6540891081094742
best_rule,not_measured,formal_u2_family_110_r00,0.0,u2_family_110,0.6540891081094742,test,0.6540891081094742
uniform,not_measured,formal_u2_family_110_r00,0.0,u2_family_110,0.6540891081094742,test,0.6540891081094742
best_budget,not_measured,formal_u2_family_110_r00,0.0,u2_family_110,0.6540891081094742,test,0.6540891081094742
gold,not_measured,formal_u2_family_110_r01,0.0,u2_family_110,0.6547317355871201,test,0.6547317355871201
best_causal,not_measured,formal_u2_family_110_r01,0.0,u2_family_110,0.6547317355871201,test,0.6547317355871201
best_rule,not_measured,formal_u2_family_110_r01,0.0,u2_family_110,0.6547317355871201,test,0.6547317355871201
uniform,not_measured,formal_u2_family_110_r01,0.0,u2_family_110,0.6547317355871201,test,0.6547317355871201
best_budget,not_measured,formal_u2_family_110_r01,0.0,u2_family_110,0.6547317355871201,test,0.6547317355871201
gold,not_measured,formal_u2_family_110_r02,0.0,u2_family_110,0.6548998355865479,test,0.6548998355865479
best_causal,not_measured,formal_u2_family_110_r02,0.0,u2_family_110,0.6548998355865479,test,0.6548998355865479
best_rule,not_measured,formal_u2_family_110_r02,0.0,u2_family_110,0.6548998355865479,test,0.6548998355865479
uniform,not_measured,formal_u2_family_110_r02,0.0,u2_family_110,0.6548998355865479,test,0.6548998355865479
