case_id,split,seed,target_x,target_y,interferer_x,interferer_y,dx,dy,abs_dx,abs_dy,aabb_overlap_x,aabb_overlap_y,aabb_overlap,classification,source_sha256
T_C_train_28,train,3128,-0.06047996735348116,-0.020715541797743098,-0.027682253503578808,-0.0015241383519311175,0.03279771384990235,0.01919140344581198,0.03279771384990235,0.01919140344581198,0.007202286150097652,0.02080859655418802,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_29,train,3129,-0.1544770756364964,-0.11957256104235259,-0.1235840779594494,-0.09744514152434353,0.030892997677047007,0.02212741951800906,0.030892997677047007,0.02212741951800906,0.009107002322952994,0.01787258048199094,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_30,train,3130,-0.20498004111321308,-0.06553808249679519,-0.17074814296847812,-0.04904029023817792,0.03423189814473496,0.016497792258617264,0.03423189814473496,0.016497792258617264,0.005768101855265044,0.023502207741382737,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_31,train,3131,-0.028996686405316524,-0.1623979609419785,-0.006391100989505471,-0.13185311672878156,0.022605585415811053,0.030544844213196948,0.022605585415811053,0.030544844213196948,0.017394414584188948,0.009455155786803053,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_32,train,3132,-0.05851931193351986,-0.03828732117298467,-0.02685701856408406,-0.01727543932989927,0.0316622933694358,0.021011881843085396,0.0316622933694358,0.021011881843085396,0.008337706630564198,0.018988118156914605,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_33,train,3133,-0.05672050741693194,-0.03332350107144766,-0.024826149006228752,-0.012665575193722006,0.031894358410703184,0.020657925877725653,0.031894358410703184,0.020657925877725653,0.008105641589296816,0.019342074122274348,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_34,train,3134,-0.027394963691922347,-0.17741083482536588,-0.005659181007223495,-0.14624104574870472,0.021735782684698852,0.031169789076661153,0.021735782684698852,0.031169789076661153,0.01826421731530115,0.008830210923338848,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_35,train,3135,-0.08799068427818107,-0.15771761743742824,-0.06160376110732914,-0.13037296008767238,0.026386923170851936,0.027344657349755858,0.026386923170851936,0.027344657349755858,0.013613076829148064,0.012655342650244143,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_36,train,3136,-0.020361340653518883,-0.11606600369886491,0.004228291298585284,-0.08709446593401615,0.024589631952104167,0.02897153776484876,0.024589631952104167,0.02897153776484876,0.015410368047895834,0.011028462235151242,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
T_C_train_37,train,3137,-0.18758577027788675,-0.05149535710340297,-0.15314920749157057,-0.03542914586789061,0.03443656278631618,0.016066211235512363,0.03443656278631618,0.016066211235512363,0.005563437213683818,0.023933788764487637,True,INITIAL_INTERPENETRATION,a799df5662ddbeb1ce7fbaa7b520f9d39500ca1febc3c28035599a4ae98d052b
