config_id,lambda,eta,beta,confidence,oracle_path_normalized_gap,oracle_positive_loop_rate,oracle_loop_return_mean,oracle_loop_return_p95,oracle_stagnation_positive_rate,oracle_terminal_hold_abs_mean,failure_negative_rate,recovery_positive_rate,recovery_cycle_nonpositive_rate,forward_positive_rate,recovery_positive_weight_coverage,success_return_auroc,success_return_spearman,success_minus_failure_return_margin,reward_nonzero_rate,reward_lcb_mean,uncertainty_penalty_mean,fixed_order_score_drop
cfg_078,0.5,0.05,1.5,0.55,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999995600273398,9.50026604928675,1.0,-1.186714788745167,0.035046285100565,0.0
cfg_079,0.5,0.05,1.5,0.7,0.0,0.0,-2.483333333333334,-2.483333333333334,0.0,0.15000000000000002,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999996353741845,9.127985162581723,0.992797118847539,-1.163517938980832,0.03275708713086149,0.0
cfg_080,0.5,0.1,0.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999771839474,9.1787576000103,1.0,-1.2768808776243663,0.0,0.0
cfg_081,0.5,0.1,0.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.9999999653019122,8.88579628403403,0.992797118847539,-1.252690104216414,0.0,0.0
cfg_082,0.5,0.1,0.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999209147962,9.186203521486021,1.0,-1.2798077240615566,0.011682095033521666,0.0
cfg_083,0.5,0.1,0.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999275647962,8.866802348600203,0.992797118847539,-1.2558082025124009,0.010919029043620507,0.0
cfg_084,0.5,0.1,1.0,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999998244399321,9.193649442961771,1.0,-1.2827345704987434,0.023364190067043333,0.0
cfg_085,0.5,0.1,1.0,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.999999851146805,8.847808413166376,0.992797118847539,-1.2589263008083849,0.021838058087241013,0.0
cfg_086,0.5,0.1,1.5,0.55,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999996879547488,9.201095364437492,1.0,-1.2856614169359317,0.035046285100565,0.0
cfg_087,0.5,0.1,1.5,0.7,0.0,0.0,-4.9333333333333345,-4.9333333333333345,0.0,0.30000000000000004,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999997355491775,8.828814477732493,0.992797118847539,-1.2620443991043704,0.0327570871308615,0.0
cfg_088,0.5,0.2,0.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999795076515,8.578658360760272,1.0,-1.3294241370665303,0.0,0.0
cfg_089,0.5,0.2,0.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.25,1.0,0.23076923076923078,0.25,not_estimable,0.999999968939012,8.285697044784001,0.992797118847539,-1.304393027524124,0.0,0.0
cfg_090,0.5,0.2,0.5,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.9999999235337671,8.586160566238533,1.0,-1.331939137777523,0.011682095033521666,0.0
cfg_091,0.5,0.2,0.5,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999999316747042,8.266759393352714,0.992797118847539,-1.3070992800939145,0.01091902904362051,0.0
cfg_092,0.5,0.2,1.0,0.55,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.15384615384615385,0.0,not_estimable,0.999999825969001,8.593662771716794,1.0,-1.334454138488515,0.023364190067043333,0.0
cfg_093,0.5,0.2,1.0,0.7,0.0,0.0,-7.7,-7.7,0.0,0.6000000000000001,1.0,0.0,1.0,0.23076923076923078,0.0,not_estimable,0.9999998535251736,8.24782174192137,0.992797118847539,-1.3098055326637024,0.02183805808724102,0.0
