episodes,error_sum,estimability,event,event_id,f1,fn,fp,mae,matched_count,model,precision,recall,split,tolerance,tp
108,0.0,estimable,contact_on,1,0.9773755656108597,0,5,0.0,108,boundary_model:causal_weak_only_s622,0.9557522123893806,1.0,val,1,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s622,,0.0,val,1,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s622,1.0,1.0,val,1,25
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s622,1.0,1.0,val,1,25
108,0.0,estimable,contact_reestablished,5,0.8571428571428571,5,1,0.0,18,boundary_model:causal_weak_only_s622,0.9473684210526315,0.782608695652174,val,1,18
108,3.0,estimable,detour_start,6,0.024999999999999998,56,178,1.0,3,boundary_model:causal_weak_only_s622,0.016574585635359115,0.05084745762711865,val,1,3
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,88,boundary_model:causal_weak_only_s622,1.0,1.0,val,1,88
108,0.0,estimable,stable_success,8,,88,0,,0,boundary_model:causal_weak_only_s622,,0.0,val,1,0
108,0.0,estimable,terminal_failure,9,0.375,2,58,0.0,18,boundary_model:causal_weak_only_s622,0.23684210526315788,0.9,val,1,18
108,0.0,estimable,stagnation_onset,10,,15,0,,0,boundary_model:causal_weak_only_s622,,0.0,val,1,0
108,0.0,estimable,contact_on,1,0.9773755656108597,0,5,0.0,108,boundary_model:causal_weak_only_s622,0.9557522123893806,1.0,val,2,108
108,0.0,estimable,transport_on,2,,108,0,,0,boundary_model:causal_weak_only_s622,,0.0,val,2,0
108,0.0,estimable,contact_off_failure,3,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s622,1.0,1.0,val,2,25
108,0.0,estimable,recovery_start,4,1.0,0,0,0.0,25,boundary_model:causal_weak_only_s622,1.0,1.0,val,2,25
108,0.0,estimable,contact_reestablished,5,0.8571428571428571,5,1,0.0,18,boundary_model:causal_weak_only_s622,0.9473684210526315,0.782608695652174,val,2,18
108,11.0,estimable,detour_start,6,0.058333333333333334,52,174,1.5714285714285714,7,boundary_model:causal_weak_only_s622,0.03867403314917127,0.11864406779661017,val,2,7
108,0.0,estimable,goal_enter,7,1.0,0,0,0.0,88,boundary_model:causal_weak_only_s622,1.0,1.0,val,2,88
108,0.0,estimable,stable_success,8,,88,0,,0,boundary_model:causal_weak_only_s622,,0.0,val,2,0
108,0.0,estimable,terminal_failure,9,0.375,2,58,0.0,18,boundary_model:causal_weak_only_s622,0.23684210526315788,0.9,val,2,18
